;dm
AA;1
AB;1
AC;0
AD;1
AE;1
AF;1
AG;1
AH;1
AI;0
AJ;0
AK;0
AL;0
AM;0
AN;0
AO;0
AP;0
AQ;0
AR;0
AS;0
AT;0
AU;0
AV;0
AW;0
AX;0
AY;0
AZ;0
BA;0
BB;0
BC;0
BD;0
BE;0
BF;0
BG;0
BH;1
BI;0
BJ;0
BK;0
BL;0
